UID          PID    PPID  C STIME TTY          TIME CMD
olatunde    1445     975  0 20:26 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
olatunde    1455    1002  0 20:26 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
olatunde    1464     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-a11y-settings
olatunde    1465     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-color
olatunde    1468     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-datetime
olatunde    1469     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-housekeeping
olatunde    1471     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-keyboard
olatunde    1474     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-media-keys
olatunde    1481     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-power
olatunde    1484     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-print-notifications
olatunde    1485     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-rfkill
olatunde    1487     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
olatunde    1489     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-sharing
olatunde    1499     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-smartcard
olatunde    1500     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-sound
olatunde    1506     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-usb-protection
olatunde    1522     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-wacom
olatunde    1524     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-wwan
olatunde    1525     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-xsettings
olatunde    1537    1304  0 20:26 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
olatunde    1546    1304  0 20:26 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
olatunde    1611     975  0 20:26 ?        00:00:00 /usr/libexec/gsd-printer
colord      1624       1  0 20:26 ?        00:00:00 /usr/libexec/colord
olatunde    1643    1359  0 20:26 ?        00:00:00 /usr/libexec/ibus-engine-simple
olatunde    1703    1304  0 20:27 ?        00:00:00 update-notifier
olatunde    1733     975  0 20:28 ?        00:00:02 /usr/libexec/gnome-terminal-server
olatunde    1741    1733  0 20:28 pts/0    00:00:00 bash
root        3383       2  0 20:31 ?        00:00:00 [kworker/3:0]
root        3389       2  0 20:37 ?        00:00:00 [kworker/u8:1-events_unbound]
root        3561       2  0 20:48 ?        00:00:00 [kworker/2:0]
root        3571       2  0 20:56 ?        00:00:00 [kworker/u8:3-events_unbound]
root        3619       2  0 20:59 ?        00:00:00 [kworker/0:0-cgroup_destroy]
root        3620       2  0 20:59 ?        00:00:00 [kworker/1:2-events]
root        3867       2  0 21:05 ?        00:00:00 [kworker/u8:0-events_unbound]
olatunde    4118    1741  0 21:08 pts/0    00:00:00 ps -ef
